species,species_canon,bl_accepted,bl_match_type
Dendrocygna javanica,Dendrocygna javanica,Dendrocygna javanica,accepted
Dicaeum cruentatum,Dicaeum cruentatum,Dicaeum cruentatum,accepted
Dicaeum ignipectus,Dicaeum ignipectus,Dicaeum ignipectus,accepted
Dicaeum minullum,Dicaeum minullum,Dicaeum minullum,accepted
Dicrurus annectens,Dicrurus annectens,Dicrurus annectens,accepted
Dicrurus hottentottus,Dicrurus hottentottus,Dicrurus hottentottus,accepted
Dicrurus remifer,Dicrurus remifer,Dicrurus remifer,accepted
Egretta eulophotes,Egretta eulophotes,Egretta eulophotes,accepted
Egretta garzetta,Egretta garzetta,Egretta garzetta,accepted
Egretta picata,Egretta picata,Egretta picata,accepted
Elachura formosa,Elachura formosa,Elachura formosa,accepted
Elanus caeruleus,Elanus caeruleus,Elanus caeruleus,accepted
Emberiza buchanani,Emberiza buchanani,Emberiza buchanani,accepted
Emberiza chrysophrys,Emberiza chrysophrys,Emberiza chrysophrys,accepted
Emberiza citrinella,Emberiza citrinella,Emberiza citrinella,accepted
Emberiza elegans,Emberiza elegans,Emberiza elegans,accepted
Emberiza godlewskii,Emberiza godlewskii,Emberiza godlewskii,accepted
Emberiza hortulana,Emberiza hortulana,Emberiza hortulana,accepted
Emberiza leucocephalos,Emberiza leucocephalos,Emberiza leucocephalos,accepted
Emberiza melanocephala,Emberiza melanocephala,Emberiza melanocephala,accepted
Emberiza pallasi,Emberiza pallasi,Emberiza pallasi,accepted
Emberiza pusilla,Emberiza pusilla,Emberiza pusilla,accepted
Emberiza rustica,Emberiza rustica,Emberiza rustica,accepted
Emberiza siemsseni,Emberiza siemsseni,Emberiza siemsseni,accepted
Emberiza sulphurata,Emberiza sulphurata,Emberiza sulphurata,accepted
Emberiza yessoensis,Emberiza yessoensis,Emberiza yessoensis,accepted
Enicurus leschenaulti,Enicurus leschenaulti,Enicurus leschenaulti,accepted
Enicurus maculatus,Enicurus maculatus,Enicurus maculatus,accepted
Enicurus schistaceus,Enicurus schistaceus,Enicurus schistaceus,accepted
Eremophila alpestris,Eremophila alpestris,Eremophila alpestris,accepted
Erithacus rubecula,Erithacus rubecula,Erithacus rubecula,accepted
Erpornis zantholeuca,Erpornis zantholeuca,Erpornis zantholeuca,accepted
Eudynamys scolopaceus,Eudynamys scolopaceus,Eudynamys scolopaceus,accepted
Eumyias thalassinus,Eumyias thalassinus,Eumyias thalassinus,accepted
Falco cherrug,Falco cherrug,Falco cherrug,accepted
Falco severus,Falco severus,Falco severus,accepted
Ficedula albicilla,Ficedula albicilla,Ficedula albicilla,accepted
Ficedula elisae,Ficedula elisae,Ficedula elisae,accepted
Ficedula erithacus,Ficedula erithacus,Ficedula erithacus,accepted
Ficedula hyperythra,Ficedula hyperythra,Ficedula hyperythra,accepted
Ficedula hypoleuca,Ficedula hypoleuca,Ficedula hypoleuca,accepted
Ficedula mugimaki,Ficedula mugimaki,Ficedula mugimaki,accepted
Ficedula narcissina,Ficedula narcissina,Ficedula narcissina,accepted
Ficedula owstoni,Ficedula owstoni,Ficedula owstoni,accepted
Ficedula parva,Ficedula parva,Ficedula parva,accepted
Ficedula ruficauda,Ficedula ruficauda,Ficedula ruficauda,accepted
Ficedula strophiata,Ficedula strophiata,Ficedula strophiata,accepted
Ficedula superciliaris,Ficedula superciliaris,Ficedula superciliaris,accepted
Ficedula tricolor,Ficedula tricolor,Ficedula tricolor,accepted
Fregata andrewsi,Fregata andrewsi,Fregata andrewsi,accepted
Fregata ariel,Fregata ariel,Fregata ariel,accepted
Fringilla coelebs,Fringilla coelebs,Fringilla coelebs,accepted
Fringilla montifringilla,Fringilla montifringilla,Fringilla montifringilla,accepted
Galerida cristata,Galerida cristata,Galerida cristata,accepted
Gallicrex cinerea,Gallicrex cinerea,Gallicrex cinerea,accepted
Garrulax canorus,Garrulax canorus,Garrulax canorus,accepted
Garrulax maesi,Garrulax maesi,Garrulax maesi,accepted
Garrulax monileger,Garrulax monileger,Garrulax monileger,accepted
Gavia adamsii,Gavia adamsii,Gavia adamsii,accepted
Gavia arctica,Gavia arctica,Gavia arctica,accepted
Gavia pacifica,Gavia pacifica,Gavia pacifica,accepted
Gavia stellata,Gavia stellata,Gavia stellata,accepted
Gelochelidon nilotica,Gelochelidon nilotica,Gelochelidon nilotica,accepted
Geokichla citrina,Geokichla citrina,Geokichla citrina,accepted
Geokichla wardii,Geokichla wardii,Geokichla wardii,accepted
Geopelia striata,Geopelia striata,Geopelia striata,accepted
Glareola lactea,Glareola lactea,Glareola lactea,accepted
Glaucidium cuculoides,Glaucidium cuculoides,Glaucidium cuculoides,accepted
Gorsachius goisagi,Gorsachius goisagi,Gorsachius goisagi,accepted
Gorsachius melanolophus,Gorsachius melanolophus,Gorsachius melanolophus,accepted
Gracupica nigricollis,Gracupica nigricollis,Gracupica nigricollis,accepted
Grandala coelicolor,Grandala coelicolor,Grandala coelicolor,accepted
Grus canadensis,Grus canadensis,Grus canadensis,accepted
Grus japonensis,Grus japonensis,Grus japonensis,accepted
Grus monacha,Grus monacha,Grus monacha,accepted
Grus nigricollis,Grus nigricollis,Grus nigricollis,accepted
Grus vipio,Grus vipio,Grus vipio,accepted
Gygis alba,Gygis alba,Gygis alba,accepted
Gypaetus barbatus,Gypaetus barbatus,Gypaetus barbatus,accepted
Gyps himalayensis,Gyps himalayensis,Gyps himalayensis,accepted
Gyps tenuirostris,Gyps tenuirostris,Gyps tenuirostris,accepted
Halcyon coromanda,Halcyon coromanda,Halcyon coromanda,accepted
Halcyon pileata,Halcyon pileata,Halcyon pileata,accepted
Halcyon smyrnensis,Halcyon smyrnensis,Halcyon smyrnensis,accepted
Haliaeetus leucoryphus,Haliaeetus leucoryphus,Haliaeetus leucoryphus,accepted
Haliaeetus pelagicus,Haliaeetus pelagicus,Haliaeetus pelagicus,accepted
Haliastur indus,Haliastur indus,Haliastur indus,accepted
Harpactes wardi,Harpactes wardi,Harpactes wardi,accepted
Helopsaltes certhiola,Helopsaltes certhiola,Helopsaltes certhiola,accepted
Helopsaltes ochotensis,Helopsaltes ochotensis,Helopsaltes ochotensis,accepted
Helopsaltes pleskei,Helopsaltes pleskei,Helopsaltes pleskei,accepted
Helopsaltes pryeri,Helopsaltes pryeri,Helopsaltes pryeri,accepted
Hemiprocne coronata,Hemiprocne coronata,Hemiprocne coronata,accepted
Hemitesia pallidipes,Hemitesia pallidipes,Hemitesia pallidipes,accepted
Hemixos castanonotus,Hemixos castanonotus,Hemixos castanonotus,accepted
Heterophasia desgodinsi,Heterophasia desgodinsi,Heterophasia desgodinsi,accepted
Heteroxenicus stellatus,Heteroxenicus stellatus,Heteroxenicus stellatus,accepted
Hieraaetus pennatus,Hieraaetus pennatus,Hieraaetus pennatus,accepted
Hierococcyx nisicolor,Hierococcyx nisicolor,Hierococcyx nisicolor,accepted
Hirundapus caudacutus,Hirundapus caudacutus,Hirundapus caudacutus,accepted
Hirundo rustica,Hirundo rustica,Hirundo rustica,accepted
Hirundo smithii,Hirundo smithii,Hirundo smithii,accepted
Histrionicus histrionicus,Histrionicus histrionicus,Histrionicus histrionicus,accepted
Hydrocoloeus minutus,Hydrocoloeus minutus,Hydrocoloeus minutus,accepted
Hydrophasianus chirurgus,Hydrophasianus chirurgus,Hydrophasianus chirurgus,accepted
Hydroprogne caspia,Hydroprogne caspia,Hydroprogne caspia,accepted
Hypothymis azurea,Hypothymis azurea,Hypothymis azurea,accepted
Hypsipetes leucocephalus,Hypsipetes leucocephalus,Hypsipetes leucocephalus,accepted
Ianthocincla lunulata,Ianthocincla lunulata,Ianthocincla lunulata,accepted
Ibidorhyncha struthersii,Ibidorhyncha struthersii,Ibidorhyncha struthersii,accepted
Ictinaetus malaiensis,Ictinaetus malaiensis,Ictinaetus malaiensis,accepted
Iduna caligata,Iduna caligata,Iduna caligata,accepted
Indicator xanthonotus,Indicator xanthonotus,Indicator xanthonotus,accepted
Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,accepted
Ixobrychus eurhythmus,Ixobrychus eurhythmus,Ixobrychus eurhythmus,accepted
Ixobrychus minutus,Ixobrychus minutus,Ixobrychus minutus,accepted
Ixos mcclellandii,Ixos mcclellandii,Ixos mcclellandii,accepted
Ketupa flavipes,Ketupa flavipes,Ketupa flavipes,accepted
Lalage melaschistos,Lalage melaschistos,Lalage melaschistos,accepted
Lanius borealis,Lanius borealis,Lanius borealis,accepted
Lanius collurioides,Lanius collurioides,Lanius collurioides,accepted
Lanius isabellinus,Lanius isabellinus,Lanius isabellinus,accepted
Lanius schach,Lanius schach,Lanius schach,accepted
Lanius sphenocercus,Lanius sphenocercus,Lanius sphenocercus,accepted
Lanius tephronotus,Lanius tephronotus,Lanius tephronotus,accepted
Larus argentatus,Larus argentatus,Larus argentatus,accepted
Larus brunnicephalus,Larus brunnicephalus,Larus brunnicephalus,accepted
Larus canus,Larus canus,Larus canus,accepted
Larus crassirostris,Larus crassirostris,Larus crassirostris,accepted
Larus fuscus,Larus fuscus,Larus fuscus,accepted
Larus genei,Larus genei,Larus genei,accepted
Larus glaucescens,Larus glaucescens,Larus glaucescens,accepted
Larus hyperboreus,Larus hyperboreus,Larus hyperboreus,accepted
Larus ichthyaetus,Larus ichthyaetus,Larus ichthyaetus,accepted
Larus relictus,Larus relictus,Larus relictus,accepted
Larvivora akahige,Larvivora akahige,Larvivora akahige,accepted
Larvivora brunnea,Larvivora brunnea,Larvivora brunnea,accepted
Larvivora cyane,Larvivora cyane,Larvivora cyane,accepted
Leptopoecile elegans,Leptopoecile elegans,Leptopoecile elegans,accepted
Leptoptilos javanicus,Leptoptilos javanicus,Leptoptilos javanicus,accepted
Leucogeranus leucogeranus,Leucogeranus leucogeranus,Leucogeranus leucogeranus,accepted
Limnodromus scolopaceus,Limnodromus scolopaceus,Limnodromus scolopaceus,accepted
Limnodromus semipalmatus,Limnodromus semipalmatus,Limnodromus semipalmatus,accepted
Limosa lapponica,Limosa lapponica,Limosa lapponica,accepted
Limosa limosa,Limosa limosa,Limosa limosa,accepted
Linaria cannabina,Linaria cannabina,Linaria cannabina,accepted
Locustella davidi,Locustella davidi,Locustella davidi,accepted
Locustella mandelli,Locustella mandelli,Locustella mandelli,accepted
Lonchura striata,Lonchura striata,Lonchura striata,accepted
Lophotriorchis kienerii,Lophotriorchis kienerii,Lophotriorchis kienerii,accepted
Lophura nycthemera,Lophura nycthemera,Lophura nycthemera,accepted
Loxia curvirostra,Loxia curvirostra,Loxia curvirostra,accepted
Machlolophus xanthogenys,Machlolophus xanthogenys,Machlolophus xanthogenys,accepted
Macropygia unchall,Macropygia unchall,Macropygia unchall,accepted
Mareca americana,Mareca americana,Mareca americana,accepted
Mareca falcata,Mareca falcata,Mareca falcata,accepted
Megaceryle lugubris,Megaceryle lugubris,Megaceryle lugubris,accepted
Melanitta fusca,Melanitta fusca,Melanitta fusca,accepted
Melanitta stejnegeri,Melanitta stejnegeri,Melanitta stejnegeri,accepted
Melanochlora sultanea,Melanochlora sultanea,Melanochlora sultanea,accepted
Mergus serrator,Mergus serrator,Mergus serrator,accepted
Merops philippinus,Merops philippinus,Merops philippinus,accepted
Mixornis gularis,Mixornis gularis,Mixornis gularis,accepted
Monticola gularis,Monticola gularis,Monticola gularis,accepted
Monticola rufiventris,Monticola rufiventris,Monticola rufiventris,accepted
Monticola solitarius,Monticola solitarius,Monticola solitarius,accepted
Motacilla citreola,Motacilla citreola,Motacilla citreola,accepted
Moupinia poecilotis,Moupinia poecilotis,Moupinia poecilotis,accepted
Muscicapa dauurica,Muscicapa dauurica,Muscicapa dauurica,accepted
Muscicapa ferruginea,Muscicapa ferruginea,Muscicapa ferruginea,accepted
Muscicapa muttui,Muscicapa muttui,Muscicapa muttui,accepted
Mycerobas affinis,Mycerobas affinis,Mycerobas affinis,accepted
Mycerobas carnipes,Mycerobas carnipes,Mycerobas carnipes,accepted
Mycteria leucocephala,Mycteria leucocephala,Mycteria leucocephala,accepted
Myiomela leucura,Myiomela leucura,Myiomela leucura,accepted
Napothera malacoptila,Napothera malacoptila,Napothera malacoptila,accepted
Neophron percnopterus,Neophron percnopterus,Neophron percnopterus,accepted
Netta rufina,Netta rufina,Netta rufina,accepted
Niltava davidi,Niltava davidi,Niltava davidi,accepted
Niltava grandis,Niltava grandis,Niltava grandis,accepted
Niltava macgrigoriae,Niltava macgrigoriae,Niltava macgrigoriae,accepted
Niltava sundara,Niltava sundara,Niltava sundara,accepted
Ninox japonica,Ninox japonica,Ninox japonica,accepted
Nipponia nippon,Nipponia nippon,Nipponia nippon,accepted
Nisaetus nipalensis,Nisaetus nipalensis,Nisaetus nipalensis,accepted
Numenius madagascariensis,Numenius madagascariensis,Numenius madagascariensis,accepted
Numenius minutus,Numenius minutus,Numenius minutus,accepted
Numenius phaeopus,Numenius phaeopus,Numenius phaeopus,accepted
Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax,accepted
Oceanites oceanicus,Oceanites oceanicus,Oceanites oceanicus,accepted
Oenanthe deserti,Oenanthe deserti,Oenanthe deserti,accepted
Oenanthe oenanthe,Oenanthe oenanthe,Oenanthe oenanthe,accepted
Onychoprion aleuticus,Onychoprion aleuticus,Onychoprion aleuticus,accepted
Onychoprion anaethetus,Onychoprion anaethetus,Onychoprion anaethetus,accepted
Onychoprion fuscatus,Onychoprion fuscatus,Onychoprion fuscatus,accepted
Oriolus oriolus,Oriolus oriolus,Oriolus oriolus,accepted
Oroanassa magnifica,Oroanassa magnifica,Oroanassa magnifica,accepted
Otocichla mupinensis,Otocichla mupinensis,Otocichla mupinensis,accepted
Otus lettia,Otus lettia,Otus lettia,accepted
Otus semitorques,Otus semitorques,Otus semitorques,accepted
Otus spilocephalus,Otus spilocephalus,Otus spilocephalus,accepted
Oxyura leucocephala,Oxyura leucocephala,Oxyura leucocephala,accepted
Panurus biarmicus,Panurus biarmicus,Panurus biarmicus,accepted
Paradoxornis gularis,Paradoxornis gularis,Paradoxornis gularis,accepted
Paradoxornis guttaticollis,Paradoxornis guttaticollis,Paradoxornis guttaticollis,accepted
Paradoxornis heudei,Paradoxornis heudei,Paradoxornis heudei,accepted
Parayuhina diademata,Parayuhina diademata,Parayuhina diademata,accepted
Pardaliparus venustulus,Pardaliparus venustulus,Pardaliparus venustulus,accepted
Parus major,Parus major,Parus major,accepted
Parus monticolus,Parus monticolus,Parus monticolus,accepted
Passer cinnamomeus,Passer cinnamomeus,Passer cinnamomeus,accepted
Passer domesticus,Passer domesticus,Passer domesticus,accepted
Passer hispaniolensis,Passer hispaniolensis,Passer hispaniolensis,accepted
Passerculus sandwichensis,Passerculus sandwichensis,Passerculus sandwichensis,accepted
Pastor roseus,Pastor roseus,Pastor roseus,accepted
Pavo cristatus,Pavo cristatus,Pavo cristatus,accepted
Pelecanus crispus,Pelecanus crispus,Pelecanus crispus,accepted
Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanus onocrotalus,accepted
Pellorneum albiventre,Pellorneum albiventre,Pellorneum albiventre,accepted
Pellorneum tickelli,Pellorneum tickelli,Pellorneum tickelli,accepted
Perdix hodgsoniae,Perdix hodgsoniae,Perdix hodgsoniae,accepted
Pericrocotus cantonensis,Pericrocotus cantonensis,Pericrocotus cantonensis,accepted
Pericrocotus divaricatus,Pericrocotus divaricatus,Pericrocotus divaricatus,accepted
Pericrocotus ethologus,Pericrocotus ethologus,Pericrocotus ethologus,accepted
Pericrocotus solaris,Pericrocotus solaris,Pericrocotus solaris,accepted
